INFO: [2023-11-24 22:32:15] genewalk.deepwalk - Walks for 9500/43209 nodes complete in 75.60s
INFO: [2023-11-24 22:32:15] genewalk.deepwalk - Walks for 9600/43209 nodes complete in 75.90s
INFO: [2023-11-24 22:32:16] genewalk.deepwalk - Walks for 9700/43209 nodes complete in 76.44s
INFO: [2023-11-24 22:32:16] genewalk.deepwalk - Walks for 9800/43209 nodes complete in 76.90s
INFO: [2023-11-24 22:32:17] genewalk.deepwalk - Walks for 9900/43209 nodes complete in 77.35s
INFO: [2023-11-24 22:32:17] genewalk.deepwalk - Walks for 10000/43209 nodes complete in 77.66s
INFO: [2023-11-24 22:32:18] genewalk.deepwalk - Walks for 10100/43209 nodes complete in 78.09s
INFO: [2023-11-24 22:32:18] genewalk.deepwalk - Walks for 10200/43209 nodes complete in 78.85s
INFO: [2023-11-24 22:32:19] genewalk.deepwalk - Walks for 10300/43209 nodes complete in 79.18s
INFO: [2023-11-24 22:32:19] genewalk.deepwalk - Walks for 10400/43209 nodes complete in 79.96s
INFO: [2023-11-24 22:32:20] genewalk.deepwalk - Walks for 10500/43209 nodes complete in 80.35s
INFO: [2023-11-24 22:32:21] genewalk.deepwalk - Walks for 10600/43209 nodes complete in 81.05s
INFO: [2023-11-24 22:32:21] genewalk.deepwalk - Walks for 10700/43209 nodes complete in 81.50s
INFO: [2023-11-24 22:32:21] genewalk.deepwalk - Walks for 10800/43209 nodes complete in 81.85s
INFO: [2023-11-24 22:32:22] genewalk.deepwalk - Walks for 10900/43209 nodes complete in 82.56s
INFO: [2023-11-24 22:32:22] genewalk.deepwalk - Walks for 11000/43209 nodes complete in 82.99s
INFO: [2023-11-24 22:32:23] genewalk.deepwalk - Walks for 11100/43209 nodes complete in 83.68s
INFO: [2023-11-24 22:32:24] genewalk.deepwalk - Walks for 11200/43209 nodes complete in 84.28s
INFO: [2023-11-24 22:32:24] genewalk.deepwalk - Walks for 11300/43209 nodes complete in 84.76s
INFO: [2023-11-24 22:32:25] genewalk.deepwalk - Walks for 11400/43209 nodes complete in 85.22s
INFO: [2023-11-24 22:32:27] genewalk.deepwalk - Walks for 11500/43209 nodes complete in 87.11s
INFO: [2023-11-24 22:32:27] genewalk.deepwalk - Walks for 11600/43209 nodes complete in 87.52s
INFO: [2023-11-24 22:32:27] genewalk.deepwalk - Walks for 11700/43209 nodes complete in 87.95s
INFO: [2023-11-24 22:32:28] genewalk.deepwalk - Walks for 11800/43209 nodes complete in 88.22s
INFO: [2023-11-24 22:32:28] genewalk.deepwalk - Walks for 11900/43209 nodes complete in 88.47s
INFO: [2023-11-24 22:32:28] genewalk.deepwalk - Walks for 12000/43209 nodes complete in 88.77s
INFO: [2023-11-24 22:32:29] genewalk.deepwalk - Walks for 12100/43209 nodes complete in 89.09s
INFO: [2023-11-24 22:32:29] genewalk.deepwalk - Walks for 12200/43209 nodes complete in 89.35s
INFO: [2023-11-24 22:32:29] genewalk.deepwalk - Walks for 12300/43209 nodes complete in 89.71s
INFO: [2023-11-24 22:32:30] genewalk.deepwalk - Walks for 12400/43209 nodes complete in 90.13s
INFO: [2023-11-24 22:32:30] genewalk.deepwalk - Walks for 12500/43209 nodes complete in 90.57s
INFO: [2023-11-24 22:32:31] genewalk.deepwalk - Walks for 12600/43209 nodes complete in 91.05s
INFO: [2023-11-24 22:32:31] genewalk.deepwalk - Walks for 12700/43209 nodes complete in 91.35s
INFO: [2023-11-24 22:32:31] genewalk.deepwalk - Walks for 12800/43209 nodes complete in 91.63s
INFO: [2023-11-24 22:32:31] genewalk.deepwalk - Walks for 12900/43209 nodes complete in 91.97s
INFO: [2023-11-24 22:32:32] genewalk.deepwalk - Walks for 13000/43209 nodes complete in 92.29s
INFO: [2023-11-24 22:32:32] genewalk.deepwalk - Walks for 13100/43209 nodes complete in 92.65s
INFO: [2023-11-24 22:32:33] genewalk.deepwalk - Walks for 13200/43209 nodes complete in 93.13s
INFO: [2023-11-24 22:32:33] genewalk.deepwalk - Walks for 13300/43209 nodes complete in 93.43s
INFO: [2023-11-24 22:32:33] genewalk.deepwalk - Walks for 13400/43209 nodes complete in 93.72s
INFO: [2023-11-24 22:32:33] genewalk.deepwalk - Walks for 13500/43209 nodes complete in 93.85s
INFO: [2023-11-24 22:32:33] genewalk.deepwalk - Walks for 13600/43209 nodes complete in 94.02s
INFO: [2023-11-24 22:32:34] genewalk.deepwalk - Walks for 13700/43209 nodes complete in 94.16s
INFO: [2023-11-24 22:32:34] genewalk.deepwalk - Walks for 13800/43209 nodes complete in 94.36s
INFO: [2023-11-24 22:32:34] genewalk.deepwalk - Walks for 13900/43209 nodes complete in 94.76s
INFO: [2023-11-24 22:32:35] genewalk.deepwalk - Walks for 14000/43209 nodes complete in 95.15s
INFO: [2023-11-24 22:32:35] genewalk.deepwalk - Walks for 14100/43209 nodes complete in 95.38s
INFO: [2023-11-24 22:32:35] genewalk.deepwalk - Walks for 14200/43209 nodes complete in 95.80s
INFO: [2023-11-24 22:32:36] genewalk.deepwalk - Walks for 14300/43209 nodes complete in 96.15s
INFO: [2023-11-24 22:32:36] genewalk.deepwalk - Walks for 14400/43209 nodes complete in 96.51s
INFO: [2023-11-24 22:32:36] genewalk.deepwalk - Walks for 14500/43209 nodes complete in 96.88s
INFO: [2023-11-24 22:32:37] genewalk.deepwalk - Walks for 14600/43209 nodes complete in 97.24s
INFO: [2023-11-24 22:32:37] genewalk.deepwalk - Walks for 14700/43209 nodes complete in 97.54s
INFO: [2023-11-24 22:32:37] genewalk.deepwalk - Walks for 14800/43209 nodes complete in 97.84s
INFO: [2023-11-24 22:32:38] genewalk.deepwalk - Walks for 14900/43209 nodes complete in 98.07s
